bsq,class
/workspace/tree_bsq_chips/P703/25_09_2023_P703_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1130.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_6504.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_09_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_52.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_04_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_829.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_04_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_2650.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P601/20_09_2023_P601_01_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_114.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P314/11_09_2023_P314_02_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_218.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_258.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_02_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3187.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_05_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_2604.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_02_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3105.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_16_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5852.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_4710.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P403/11_09_2023_P403_01_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_34.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_03_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_8576.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2402.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2602.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_07_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1460.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_11_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_205.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2655.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P601/20_09_2023_P601_04_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_3667.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_150.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2735.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_11_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_2246.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1138.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_02_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_161.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_920.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_01_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2124.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_16_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_4860.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_04_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1492.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_08_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_634.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_06_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1257.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_16_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5813.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_04_VS_geo_sca/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1368.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_2176.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1101.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_05_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_3633.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_02_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_276.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_20_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_2834.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P601/20_09_2023_P601_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_6304.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_06_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_992.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_13_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_987.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_636.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5019.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2056.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_2879.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_04_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_8497.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_12_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_769.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_02_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_195.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_11_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_2149.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_15_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_4491.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2271.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_04_VS_geo_sca/nizka_vegetacia/chips/tree_nizka_vegetacia_3123.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1307.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_438.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_15_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_4416.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_19_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_4156.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1416.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_2818.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_06_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1125.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_04_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3973.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1598.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P601/20_09_2023_P601_06_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1081.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_03_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1762.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P212/06_10_2023_P212_01_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_65.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3010.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_02_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_910.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_7058.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_02_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_4533.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_03_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_4531.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_04_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_4047.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_03_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_2374.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_657.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_15_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1499.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_05_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_2345.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_05_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_212.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_04_VS_geo_sca/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2017.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_741.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2411.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P314/11_09_2023_P314_06_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_789.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5717.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_7670.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P601/20_09_2023_P601_01_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_1435.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_15_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_4681.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P314/11_09_2023_P314_03_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_1531.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_2393.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_08_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3600.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_08_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3635.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_04_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_235.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5879.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_02_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_5139.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_02_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_5234.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_12_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_2316.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P601/20_09_2023_P601_06_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_872.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_01_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1619.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_04_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3330.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P601/20_09_2023_P601_06_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_993.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_08_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_2584.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_08_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_17.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_15_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5393.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P314/11_09_2023_P314_03_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_1487.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3121.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_12_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5393.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_14_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_3004.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_16_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1716.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P601/20_09_2023_P601_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5773.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_04_VS_geo_sca/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1847.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_02_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3168.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_12_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_683.bsq,stredna_vegetacia
