bsq,class
/workspace/tree_bsq_chips/P406/25_09_2023_P406_07_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2978.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_04_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1179.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_15_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1074.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2550.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_05_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_4431.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P403/11_09_2023_P403_01_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_11.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_03_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_3833.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_16_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5037.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_06_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_617.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_04_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_2051.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_02_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_5681.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_2078.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_15_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1367.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_02_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_5948.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P510/21_09_2023_P510_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_5412.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_11_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_217.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_06_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_1194.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_767.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_02_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_5233.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P703/25_09_2023_P703_06_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_2125.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P101/22_09_2023_P101_05_VS_geo/stredna_vegetacia/chips/tree_stredna_vegetacia_1826.bsq,stredna_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_12_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_4795.bsq,nizka_vegetacia
/workspace/tree_bsq_chips/P406/25_09_2023_P406_03_VS_geo/vysoka_vegetacia/chips/tree_vysoka_vegetacia_3237.bsq,vysoka_vegetacia
/workspace/tree_bsq_chips/P707/25_09_2023_P707_02_VS_geo/nizka_vegetacia/chips/tree_nizka_vegetacia_9055.bsq,nizka_vegetacia
